transaction_id,customer_id,date,product_category,amount,items_count,payment_method,is_online,total_amount,year,month,day_of_week,is_weekend
1,154,2024-03-27,Clothing,169.29,1,Bank Transfer,False,169.29,2024,3,2,False
2,811,2024-04-11,Books,48.12,2,PayPal,True,96.24,2024,4,3,False
3,495,2024-09-09,Home & Garden,202.97,3,PayPal,False,608.91,2024,9,0,False
4,854,2024-09-10,Clothing,109.8,1,PayPal,True,109.8,2024,9,1,False
5,512,2024-07-09,Home & Garden,91.74,3,Credit Card,False,275.21999999999997,2024,7,1,False
6,567,2024-09-12,Clothing,65.69,3,Credit Card,True,197.07,2024,9,3,False
7,173,2024-12-02,Sports,227.81,2,Credit Card,False,455.62,2024,12,0,False
8,129,2024-07-05,Books,30.51,3,Credit Card,True,91.53,2024,7,4,False
9,606,2024-07-02,Sports,37.98,3,Credit Card,True,113.94,2024,7,1,False
10,685,2024-08-18,Clothing,89.54,1,Credit Card,True,89.54,2024,8,6,True
11,769,2024-10-15,Clothing,177.92,4,Credit Card,True,711.68,2024,10,1,False
12,41,2024-08-29,Books,19.15,1,Credit Card,False,19.15,2024,8,3,False
13,937,2024-05-05,Sports,122.06,4,Credit Card,True,488.24,2024,5,6,True
14,588,2024-03-05,Books,43.59,1,Credit Card,False,43.59,2024,3,1,False
15,552,2024-08-01,Clothing,95.5,4,PayPal,False,382.0,2024,8,3,False
16,628,2024-08-25,Clothing,126.4,1,Credit Card,True,126.4,2024,8,6,True
17,494,2024-01-23,Home & Garden,109.72,3,Credit Card,True,329.15999999999997,2024,1,1,False
18,40,2024-06-06,Books,39.07,1,PayPal,True,39.07,2024,6,3,False
19,290,2024-06-14,Books,21.3,3,Bank Transfer,True,63.900000000000006,2024,6,4,False
20,830,2024-06-26,Sports,25.0,1,Credit Card,True,25.0,2024,6,2,False
21,650,2024-06-27,Electronics,529.64,2,Credit Card,True,1059.28,2024,6,3,False
22,342,2024-02-13,Books,17.64,4,Credit Card,True,70.56,2024,2,1,False
23,965,2024-01-04,Electronics,1258.3,2,Credit Card,True,2516.6,2024,1,3,False
24,947,2024-05-20,Books,15.01,4,Bank Transfer,False,60.04,2024,5,0,False
25,310,2024-07-16,Sports,58.66,4,Credit Card,True,234.64,2024,7,1,False
26,32,2024-07-03,Clothing,160.51,1,Credit Card,True,160.51,2024,7,2,False
27,785,2024-01-23,Electronics,1903.5,3,PayPal,True,5710.5,2024,1,1,False
28,833,2024-06-04,Electronics,1066.89,4,Bank Transfer,True,4267.56,2024,6,1,False
29,104,2024-03-16,Clothing,148.58,3,PayPal,True,445.74,2024,3,5,True
30,167,2024-08-08,Clothing,82.03,2,PayPal,True,164.06,2024,8,3,False
31,582,2024-03-25,Sports,174.66,1,PayPal,True,174.66,2024,3,0,False
32,880,2024-06-20,Home & Garden,147.54,4,Credit Card,True,590.16,2024,6,3,False
33,544,2023-12-26,Home & Garden,228.3,2,Credit Card,True,456.6,2023,12,1,False
34,488,2024-09-25,Books,38.15,2,PayPal,True,76.3,2024,9,2,False
35,925,2024-01-08,Books,38.25,1,Bank Transfer,True,38.25,2024,1,0,False
36,453,2024-03-04,Electronics,1016.3,4,Credit Card,False,4065.2,2024,3,0,False
37,659,2024-05-22,Books,19.07,3,PayPal,True,57.21,2024,5,2,False
38,428,2024-07-14,Home & Garden,115.47,2,PayPal,True,230.94,2024,7,6,True
39,626,2024-03-15,Books,49.28,3,Credit Card,True,147.84,2024,3,4,False
40,993,2024-08-21,Home & Garden,35.34,1,Credit Card,True,35.34,2024,8,2,False
41,902,2024-09-06,Electronics,918.03,4,Credit Card,True,3672.12,2024,9,4,False
42,33,2024-01-29,Books,13.36,1,PayPal,True,13.36,2024,1,0,False
43,990,2024-10-26,Clothing,88.66,1,PayPal,True,88.66,2024,10,5,True
44,128,2024-02-06,Books,34.04,4,Credit Card,True,136.16,2024,2,1,False
45,361,2024-10-16,Clothing,22.07,2,Credit Card,True,44.14,2024,10,2,False
