transaction_id,customer_id,date,product_category,amount,items_count,payment_method,is_online
1,154,2024-03-27,Clothing,169.29,1,Bank Transfer,False
2,811,2024-04-11,Books,48.12,2,PayPal,True
3,495,2024-09-09,Home & Garden,202.97,3,PayPal,False
4,854,2024-09-10,Clothing,109.8,1,PayPal,True
5,512,2024-07-09,Home & Garden,91.74,3,Credit Card,False
6,567,2024-09-12,Clothing,65.69,3,Credit Card,True
7,173,2024-12-02,Sports,227.81,2,Credit Card,False
8,129,2024-07-05,Books,30.51,3,Credit Card,True
9,606,2024-07-02,Sports,37.98,3,Credit Card,True
10,685,2024-08-18,Clothing,89.54,1,Credit Card,True
11,769,2024-10-15,Clothing,177.92,4,Credit Card,True
12,41,2024-08-29,Books,19.15,1,Credit Card,False
13,937,2024-05-05,Sports,122.06,4,Credit Card,True
14,588,2024-03-05,Books,43.59,1,Credit Card,False
15,552,2024-08-01,Clothing,95.5,4,PayPal,False
16,628,2024-08-25,Clothing,126.4,1,Credit Card,True
17,494,2024-01-23,Home & Garden,109.72,3,Credit Card,True
18,40,2024-06-06,Books,39.07,1,PayPal,True
19,290,2024-06-14,Books,21.3,3,Bank Transfer,True
20,830,2024-06-26,Sports,25.0,1,Credit Card,True
21,650,2024-06-27,Electronics,529.64,2,Credit Card,True
22,342,2024-02-13,Books,17.64,4,Credit Card,True
23,965,2024-01-04,Electronics,1258.3,2,Credit Card,True
24,947,2024-05-20,Books,15.01,4,Bank Transfer,False
25,310,2024-07-16,Sports,58.66,4,Credit Card,True
26,32,2024-07-03,Clothing,160.51,1,Credit Card,True
27,785,2024-01-23,Electronics,1903.5,3,PayPal,True
28,833,2024-06-04,Electronics,1066.89,4,Bank Transfer,True
29,104,2024-03-16,Clothing,148.58,3,PayPal,True
30,167,2024-08-08,Clothing,82.03,2,PayPal,True
31,582,2024-03-25,Sports,174.66,1,PayPal,True
32,880,2024-06-20,Home & Garden,147.54,4,Credit Card,True
33,544,2023-12-26,Home & Garden,228.3,2,Credit Card,True
34,488,2024-09-25,Books,38.15,2,PayPal,True
35,925,2024-01-08,Books,38.25,1,Bank Transfer,True
36,453,2024-03-04,Electronics,1016.3,4,Credit Card,False
37,659,2024-05-22,Books,19.07,3,PayPal,True
38,428,2024-07-14,Home & Garden,115.47,2,PayPal,True
39,626,2024-03-15,Books,49.28,3,Credit Card,True
40,993,2024-08-21,Home & Garden,35.34,1,Credit Card,True
41,902,2024-09-06,Electronics,918.03,4,Credit Card,True
42,33,2024-01-29,Books,13.36,1,PayPal,True
43,990,2024-10-26,Clothing,88.66,1,PayPal,True
44,128,2024-02-06,Books,34.04,4,Credit Card,True
